timestamp,open,high,low,close
1277568420000,1254.82,1254.82,1254.82,1254.82
1277568480000,1254.82,1254.82,1254.82,1254.82
1277568540000,1254.82,1254.82,1254.82,1254.82
1277568600000,1254.82,1254.82,1254.82,1254.82
1277568660000,1254.82,1254.82,1254.82,1254.82
1277568720000,1254.82,1254.82,1254.82,1254.82
1277568780000,1254.82,1254.82,1254.82,1254.82
1277568840000,1254.82,1254.82,1254.82,1254.82
1277568900000,1254.82,1254.82,1254.82,1254.82
1277568960000,1254.82,1254.82,1254.82,1254.82
1277569020000,1254.82,1254.82,1254.82,1254.82
1277569080000,1254.82,1254.82,1254.82,1254.82
1277569140000,1254.82,1254.82,1254.82,1254.82
1277569200000,1254.82,1254.82,1254.82,1254.82
1277569260000,1254.82,1254.82,1254.82,1254.82
1277569320000,1254.82,1254.82,1254.82,1254.82
1277569380000,1254.82,1254.82,1254.82,1254.82
1277569440000,1254.82,1254.82,1254.82,1254.82
1277569500000,1254.82,1254.82,1254.82,1254.82
1277569560000,1254.82,1254.82,1254.82,1254.82
1277569620000,1254.82,1254.82,1254.82,1254.82
1277569680000,1254.82,1254.82,1254.82,1254.82
1277569740000,1254.82,1254.82,1254.82,1254.82
1277569800000,1254.82,1254.82,1254.82,1254.82
1277569860000,1254.82,1254.82,1254.82,1254.82
1277569920000,1254.82,1254.82,1254.82,1254.82
1277569980000,1254.82,1254.82,1254.82,1254.82
1277570040000,1254.82,1254.82,1254.82,1254.82
1277570100000,1254.82,1254.82,1254.82,1254.82
1277570160000,1254.82,1254.82,1254.82,1254.82
1277570220000,1254.82,1254.82,1254.82,1254.82
1277570280000,1254.82,1254.82,1254.82,1254.82
1277570340000,1254.82,1254.82,1254.82,1254.82
1277570400000,1254.82,1254.82,1254.82,1254.82
1277570460000,1254.82,1254.82,1254.82,1254.82
1277570520000,1254.82,1254.82,1254.82,1254.82
1277570580000,1254.82,1254.82,1254.82,1254.82
1277570640000,1254.82,1254.82,1254.82,1254.82
1277570700000,1254.82,1254.82,1254.82,1254.82
1277570760000,1254.82,1254.82,1254.82,1254.82
1277570820000,1254.82,1254.82,1254.82,1254.82
1277570880000,1254.82,1254.82,1254.82,1254.82
1277570940000,1254.82,1254.82,1254.82,1254.82
1277571000000,1254.82,1254.82,1254.82,1254.82
1277571060000,1254.82,1254.82,1254.82,1254.82
1277571120000,1254.82,1254.82,1254.82,1254.82
1277571180000,1254.82,1254.82,1254.82,1254.82
1277571240000,1254.82,1254.82,1254.82,1254.82
1277571300000,1254.82,1254.82,1254.82,1254.82
1277571360000,1254.82,1254.82,1254.82,1254.82
1277571420000,1254.82,1254.82,1254.82,1254.82
1277571480000,1254.82,1254.82,1254.82,1254.82
1277571540000,1254.82,1254.82,1254.82,1254.82
1277571600000,1254.82,1254.82,1254.82,1254.82
1277571660000,1254.82,1254.82,1254.82,1254.82
1277571720000,1254.82,1254.82,1254.82,1254.82
1277571780000,1254.82,1254.82,1254.82,1254.82
1277571840000,1254.82,1254.82,1254.82,1254.82
1277571900000,1254.82,1254.82,1254.82,1254.82
1277571960000,1254.82,1254.82,1254.82,1254.82
1277572020000,1254.82,1254.82,1254.82,1254.82
1277572080000,1254.82,1254.82,1254.82,1254.82
1277572140000,1254.82,1254.82,1254.82,1254.82
1277572200000,1254.82,1254.82,1254.82,1254.82
1277572260000,1254.82,1254.82,1254.82,1254.82
1277572320000,1254.82,1254.82,1254.82,1254.82
1277572380000,1254.82,1254.82,1254.82,1254.82
1277572440000,1254.82,1254.82,1254.82,1254.82
1277572500000,1254.82,1254.82,1254.82,1254.82
1277572560000,1254.82,1254.82,1254.82,1254.82
1277572620000,1254.82,1254.82,1254.82,1254.82
1277572680000,1254.82,1254.82,1254.82,1254.82
1277572740000,1254.82,1254.82,1254.82,1254.82
1277572800000,1254.82,1254.82,1254.82,1254.82
1277572860000,1254.82,1254.82,1254.82,1254.82
1277572920000,1254.82,1254.82,1254.82,1254.82
1277572980000,1254.82,1254.82,1254.82,1254.82
1277573040000,1254.82,1254.82,1254.82,1254.82
